niche,niche_type,priority,query,score,video_id,url,title,channel,channel_handle,views,views_text,published,age_days_est,views_per_day_est,duration_seconds,duration_minutes,is_long_1h_plus
current_jazz_lounge,current,4,jazz cafe music for work study relaxing 1 hour,51.0,ohky3u9WJ74,https://www.youtube.com/watch?v=ohky3u9WJ74,"Office JAZZ - Relaxing JAZZ Music For Work, Concentration and Focus",Relax Music and Lounge Music,,6517217,,,,,38819,646.98,True
current_jazz_lounge,current,4,cozy coffee shop jazz smooth piano work study,51.0,wYPCZAMFIpw,https://www.youtube.com/watch?v=wYPCZAMFIpw,"Jazz Relaxing Music & Cozy Winter Coffee Shop Ambience ⛄ Smooth Piano Jazz Music for Studying, Work",Relax Jazz Cafe,UCZR3-lM6Z-n5_UGHlwx_Rpw,107815,,,,,42899,714.98,True
discovery_christian_sleep_ambient,new_discovery,5,christian sleep music 8 hours healing prayer instrumental,50.0,-h9Vl4dxeNU,https://www.youtube.com/watch?v=-h9Vl4dxeNU,"God's Promises: 8 Hour Piano Worship Instrumental | Prayer, Meditation & Relaxation Music",DappyTKeys,UCGr0_ltrKMMsUDWPvrXvtJw,1447723,,,,,29152,485.87,True
discovery_christian_sleep_ambient,new_discovery,5,christian sleep music 8 hours healing prayer instrumental,50.0,lGOH0-FalIo,https://www.youtube.com/watch?v=lGOH0-FalIo,8 Hours Christian Music | The Most Calming Instrumental | Anointed Music | Prayer,Soothing Music,UCiO6qxlIPJnDWfAg3Cdf7iA,1234643,,,,,29955,499.25,True
discovery_christian_sleep_ambient,new_discovery,5,christian sleep music 8 hours healing prayer instrumental,50.0,XT8lVUM_SKU,https://www.youtube.com/watch?v=XT8lVUM_SKU,"Rest || 12-Hour Christian Sleep Music | Piano Instrumental for Sleep, Prayer and Worship",Depths of Worship,UCE12QbiGIQD7nOHvo7UkmNQ,1136999,,,,,42289,704.82,True
discovery_christian_sleep_ambient,new_discovery,5,christian sleep music 8 hours healing prayer instrumental,50.0,Np84FQApgGs,https://www.youtube.com/watch?v=Np84FQApgGs,8 - Hours Prophetic Worship Music | Instrumental Sleep and Relaxation Music,Waldner Worship,UCdgvkanspoiupNua40EQzCg,490129,,,,,29312,488.53,True
discovery_christian_sleep_ambient,new_discovery,5,soaking worship instrumental sleep music no words,50.0,QaqgRzwNoFo,https://www.youtube.com/watch?v=QaqgRzwNoFo,YESHUA // 10 HOURS // BLACK SCREEN // INSTRUMENTAL SOAKING WORSHIP // SOAKING WORSHIP MUSIC // PIANO,SOAKING INTO HEAVENLY SOUNDS Instrumental Worship,UCzzsjmWW__gNJ2eEPNp3qwQ,5012667,,,,,36164,602.73,True
discovery_christian_sleep_ambient,new_discovery,5,soaking worship instrumental sleep music no words,50.0,dRWsMUryeMM,https://www.youtube.com/watch?v=dRWsMUryeMM,Deep Presence [8 Hours Soaking Sleep],Soaking Music of the Holy Spirit,UCfZcce3w72nxA0l9Oy8YznQ,174072,,,,,30580,509.67,True
discovery_christian_sleep_ambient,new_discovery,5,bible sleep music peaceful instrumental 3 hours,50.0,vEMKo8bZHrs,https://www.youtube.com/watch?v=vEMKo8bZHrs,STILL WITH GOD | 3 Hour Instrumental Worship Music with Bible Verses & Nature,Christian Harmonies,UCAB3rm8rq0LN_lYZPp5POkg,4255898,,,,,14218,236.97,True
discovery_christian_sleep_ambient,new_discovery,5,bible sleep music peaceful instrumental 3 hours,50.0,fOB73qRVGJs,https://www.youtube.com/watch?v=fOB73qRVGJs,Alone With GOD: 3 Hour Piano Worship Music for Prayer & Meditation | Christian Piano,DappyTKeys,UCGr0_ltrKMMsUDWPvrXvtJw,52548665,,,,,11046,184.1,True
discovery_christian_sleep_ambient,new_discovery,5,bible sleep music peaceful instrumental 3 hours,50.0,GBwuv4bvk4g,https://www.youtube.com/watch?v=GBwuv4bvk4g,3 Hour Popular Hymn Instrumental | Prayer and Worship Music,Serene Sessions,UCGahyrlLf3pfFvkjza3QJbw,1132680,,,,,11165,186.08,True
discovery_christian_sleep_ambient,new_discovery,5,bible sleep music peaceful instrumental 3 hours,50.0,x1xHJ35gSjY,https://www.youtube.com/watch?v=x1xHJ35gSjY,Faith & Strength: 3 Hour Quiet Time & Meditation Music | Christian Piano with Scriptures,DappyTKeys,UCGr0_ltrKMMsUDWPvrXvtJw,2815908,,,,,11247,187.45,True
discovery_christian_sleep_ambient,new_discovery,5,Christian sleep music rain sounds prayer 10 hours,50.0,Fg8EMYy_cCk,https://www.youtube.com/watch?v=Fg8EMYy_cCk,HOLY SPIRIT: Piano + Relaxing Rain Sounds - 10 Hour Sleep Music,Healing Project Music,UCzTkutStA8SWQGDw9J9qD6w,7160074,,,,,36055,600.92,True
discovery_christian_sleep_ambient,new_discovery,5,Christian sleep music rain sounds prayer 10 hours,50.0,cix2EizT57Q,https://www.youtube.com/watch?v=cix2EizT57Q,Christian Sleep Music 😴 10 Hours Relaxing Sleep Instrumental 😴 Night Ambience,Prayer Pray,UChh_8d48Ps7E8Hlou8Ji5cA,1363053,,,,,36029,600.48,True
discovery_christian_sleep_ambient,new_discovery,5,Christian sleep music rain sounds prayer 10 hours,50.0,5-qfzvoHaic,https://www.youtube.com/watch?v=5-qfzvoHaic,"Worship Instrumental Music with Rain, Christian Instrumental Worship Music with Rain Sounds",Overflow Worship,UChVzYsIFIdL2LOBXajoGqIQ,316947,,,,,42899,714.98,True
discovery_christian_sleep_ambient,new_discovery,5,Christian sleep music rain sounds prayer 10 hours,50.0,kNWiu6BNcEA,https://www.youtube.com/watch?v=kNWiu6BNcEA,"Soaking Worship with Rain Sounds for Prayer, Rest, and God’s Presence",Overflow Worship,UChVzYsIFIdL2LOBXajoGqIQ,1105446,,,,,12079,201.32,True
discovery_christian_sleep_ambient,new_discovery,5,soaking worship instrumental prayer rest Jesus 3 hours,50.0,MvPgu-hwYQw,https://www.youtube.com/watch?v=MvPgu-hwYQw,"3 Hour Christian Lofi Worship Music | Prayer, Rest, Study & Sleep music",REDEFINED TV,UCOVQ9bWjKpS_1DSieC3LIUQ,123284,,,,,11024,183.73,True
discovery_christian_sleep_ambient,new_discovery,5,soaking worship instrumental prayer rest Jesus 3 hours,50.0,u1OFcHEwEWs,https://www.youtube.com/watch?v=u1OFcHEwEWs,JESUS MY PEACE - 3 Hour Prayer & Meditation Music With Scriptures | Soaking Piano Worship,Ocean Melody,UCgUaJrEeaV0zYa1kNdOEhuQ,762280,,,,,12949,215.82,True
discovery_christian_sleep_ambient,new_discovery,5,soaking worship instrumental prayer rest Jesus 3 hours,50.0,MGGS2pXR-bc,https://www.youtube.com/watch?v=MGGS2pXR-bc,Hymns & Psalms: 3 Hour of Piano Hymns for Prayer & Meditation,DappyTKeys,UCGr0_ltrKMMsUDWPvrXvtJw,4068924,,,,,11037,183.95,True
current_ptbr_country_gospel_blues,current,1,Deus viu suas lágrimas country gospel blues 1 hora,49.0,R7n_YJ4cHkE,https://www.youtube.com/watch?v=R7n_YJ4cHkE,"OUÇA ISSO ANTES DE DESISTIR | Os Hinos Blues Gospel de Fé, Dor e Superação | DAVI LUCCAS",Davi Blues,UCIm3-7uNO1LEUn-cUo3GKKg,948404,,,,,6449,107.48,True
discovery_dark_academia_piano,new_discovery,6,dark academia classical music 1 hour studying rain,49.0,DCt-k9DCWsQ,https://www.youtube.com/watch?v=DCt-k9DCWsQ,Dark Academia Piano Music with Rain Sounds | Gothic Reading Library Ambience | Study Music,Nostalgic Dark Academia,UC12Eze_Z4Q9ORLbCiMY6N8Q,926941,,,,,11961,199.35,True
discovery_dark_academia_piano,new_discovery,6,dark academia classical music 1 hour studying rain,49.0,7vORdFWxIPg,https://www.youtube.com/watch?v=7vORdFWxIPg,You're Reading Alone at Victorian London by the Window | Rainy Autumn Ambience | Dark Academia,Nostalgic Dark Academia,UC12Eze_Z4Q9ORLbCiMY6N8Q,1398167,,,,,13213,220.22,True
discovery_dark_academia_piano,new_discovery,6,dark academia classical music 1 hour studying rain,49.0,FQfsDannYBU,https://www.youtube.com/watch?v=FQfsDannYBU,You're Reading an Classic Book in a Gothic Library  with Rain Sounds | Dark Academia for Relax Mood,𝔻𝕒𝕣𝕜ℕ𝕚𝕘𝕙𝕥 𝕊𝕔𝕒𝕣𝕖,UCnDzHUwteZZtWZnQZXk5s8Q,887606,,,,,14251,237.52,True
discovery_dark_academia_piano,new_discovery,6,dark academia piano playlist for reading 1 hour,49.0,thMUHfXxO0o,https://www.youtube.com/watch?v=thMUHfXxO0o,alone with every answer | dark academia playlist,memoriae,UCYUBerFKFc7M-5mfBUuqG_Q,100455,,,,,7545,125.75,True
discovery_dark_academia_piano,new_discovery,6,dark academia piano playlist for reading 1 hour,49.0,k5rEQ2wFPUw,https://www.youtube.com/watch?v=k5rEQ2wFPUw,a playlist for night studies (dark academia),nobody,UCHRx3w9GE3r-iqpvIKsTgeQ,14422119,,,,,7382,123.03,True
discovery_dark_academia_piano,new_discovery,6,dark academia piano playlist for reading 1 hour,49.0,lgviQrW1VjA,https://www.youtube.com/watch?v=lgviQrW1VjA,𝐌𝐞𝐥𝐚𝐧𝐜𝐡𝐨𝐥𝐢𝐜 𝐏𝐢𝐚𝐧𝐨 𝐟𝐨𝐫 𝐃𝐚𝐫𝐤 𝐀𝐜𝐚𝐝𝐞𝐦𝐢𝐚 𝐅𝐨𝐫𝐠𝐨𝐭𝐭𝐞𝐧 | 𝐃𝐚𝐫𝐤 𝐀𝐜𝐚𝐝𝐞𝐦𝐢𝐚 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 | 𝐌𝐮𝐬𝐢𝐜 & 𝐑𝐚𝐢𝐧 𝐀𝐦𝐛𝐢𝐞𝐧𝐜𝐞,Demure,UC1vjo6rNZ02sQX21MU9pYQw,456232,,,,,40359,672.65,True
discovery_dark_academia_piano,new_discovery,6,gothic study music dark academia ambience,49.0,lfAvxIJDi00,https://www.youtube.com/watch?v=lfAvxIJDi00,Dark Academia Piano and Cello | Discovering Ancient Secrets in a Gothic Study,Elemental SoundWorks,UCdsLSmcM1e6cHfYEVzuToGw,218830,,,,,12367,206.12,True
discovery_dark_academia_piano,new_discovery,6,gothic study music dark academia ambience,49.0,LmDENE8AGIc,https://www.youtube.com/watch?v=LmDENE8AGIc,Cozy Winter Study Room | Gothic Ambience with Fireplace & Snowfall |Dark Academia Music for Studying,Dark Academia ,UC9NPk8YgZy1165CnXGSsZeQ,701522,,,,,42897,714.95,True
current_spanish_gospel_blues,current,2,Dios conoce tu dolor Gospel Blues en Español 1 hora,48.0,cHp537myNJM,https://www.youtube.com/watch?v=cHp537myNJM,BEST SPANISH SOUL BLUES | Layah Noir,Layah Noir,UCE0HlOY25Mgb4HeK8GIqIiA,1143106,,,,,6148,102.47,True
current_spanish_gospel_blues,current,2,Música cristiana blues español para descansar oración,48.0,SoZodqiotLo,https://www.youtube.com/watch?v=SoZodqiotLo,✝️ Mi Cristo – Blues Gospel Profundo | Cruz & Blues Worship Música Cristiana 🙏🔥,BLUES GOSPEL,UCj5uX7gMaWKHXvRnVMyu7ag,158889,,,,,5497,91.62,True
discovery_afro_deep_house,new_discovery,7,afro deep house mix 2026 1 hour no vocals,48.0,ZA_KC22qqR8,https://www.youtube.com/watch?v=ZA_KC22qqR8,Afro House 2026 Mix | Deep Melodic Set 🎧 | Black Coffee Style,Afro Records,UCnX4NTj-tV5JGqOySxxZEnQ,585920,,,,,13552,225.87,True
discovery_afro_deep_house,new_discovery,7,afro house sunset mix 1 hour deep house,48.0,roNNn1vr9XU,https://www.youtube.com/watch?v=roNNn1vr9XU,"SUMMER AFRO HOUSE Sunset Mix (Adam Port, Avicii, The Weeknd, Coldplay, Diplo) - Summer Vibes #1",AFRO FLOW,UCCMwQiQgKrnkBLaxkxn9Qfg,3249576,,,,,8098,134.97,True
discovery_afro_deep_house,new_discovery,7,afro house sunset mix 1 hour deep house,48.0,f9OSBmPZOoQ,https://www.youtube.com/watch?v=f9OSBmPZOoQ,"SUMMER AFRO HOUSE Sunset Mix (Adam Port, Avicii, The Weeknd, Coldplay, Diplo) - Summer Vibes Mix #41",Afro King,UCr43INn69NALxuk66CbY_cg,5043193,,,,,8461,141.02,True
current_dark_deep_house_noir_pulse,current,3,dark deep house mix no vocals 2 hour night drive,47.0,U3SPkP4y-rY,https://www.youtube.com/watch?v=U3SPkP4y-rY,'Night Drive' - Relaxing Deep House & Progressive House Mix,The Grand Sound,UC14ap4T608Zz_Mz4eezhIqw,15179924,,,,,7009,116.82,True
current_dark_deep_house_noir_pulse,current,3,dark deep house mix no vocals 2 hour night drive,47.0,LxJzb61L-7U,https://www.youtube.com/watch?v=LxJzb61L-7U,Summer Ocean Night 2026 | Slow BPM Deep House & Ambient Chill Mix • 2‑Hour Midnight﻿ Vibes,Velvet Deep Radio,UCrSGkzPhvWtCRmTtMM2s6BA,799273,,,,,7048,117.47,True
current_dark_deep_house_noir_pulse,current,3,after 2am dark deep house mix focus no vocals,47.0,sPk2viKd0cE,https://www.youtube.com/watch?v=sPk2viKd0cE,"Deep House Mix 2026 | Emotional Night Drive, Vocal House, Nu Disco | Chill Mood",After 2AM,UCkEZW3d64hV4c532AP2ehlQ,2870525,,,,,6109,101.82,True
current_dark_deep_house_noir_pulse,current,3,1h30 dark deep house mix no vocals focus,47.0,aju_UB5VIf8,https://www.youtube.com/watch?v=aju_UB5VIf8,90 Minute Low Poly Ethereal Intelligent DnB | Jungle | Breaks Mix for Focus & Study,jungle wizard,UCYKIlOy5aLhhwONAArjCaZQ,381915,,,,,5554,92.57,True
current_dark_deep_house_noir_pulse,current,3,1h30 dark deep house mix no vocals focus,47.0,MYW0TgV67RE,https://www.youtube.com/watch?v=MYW0TgV67RE,Work Music for Serious Grind | Stay Aligned,MM,UCVhOu08xtaQT3fInTgvI4Lg,2272741,,,,,6400,106.67,True
discovery_cinematic_celtic_ambient,new_discovery,8,celtic ambient music 1 hour medieval fantasy relaxing,47.0,9yN4JUyfxeU,https://www.youtube.com/watch?v=9yN4JUyfxeU,Enchanted Lands (3 Hours) – Celtic Medieval | Relaxing Fantasy Music,Celtic Soul ,UCArI74E5NjWNZYU0ckHoBjQ,721709,,,,,11049,184.15,True
discovery_cinematic_celtic_ambient,new_discovery,8,celtic ambient music 1 hour medieval fantasy relaxing,47.0,QK4VBXgeLd8,https://www.youtube.com/watch?v=QK4VBXgeLd8,Serenity of the Old World  (3 Hours) – Celtic Medieval | Relaxing Fantasy Music,Celtic Soul ,UCArI74E5NjWNZYU0ckHoBjQ,211725,,,,,11365,189.42,True
discovery_cinematic_celtic_ambient,new_discovery,8,celtic ambient music 1 hour medieval fantasy relaxing,47.0,xAz5tD8QmnQ,https://www.youtube.com/watch?v=xAz5tD8QmnQ,Medieval & Celtic Fantasy Music for Working and Studying,Healing Harmony Piano,UChsQByI7g9PpP_b-SIPG4qw,543704,,,,,11451,190.85,True
discovery_cinematic_celtic_ambient,new_discovery,8,medieval ambient music castle rain 1 hour,47.0,JQS85Wgf4xI,https://www.youtube.com/watch?v=JQS85Wgf4xI,10 Hours of Relaxing Thunder & Rainstorm Ambience | Stormy Night at a Medieval Castle [4K],Outdoor Therapy,UC_Tuj8Ncewqb_t0BaWmIh-g,859348,,,,,36610,610.17,True
discovery_cinematic_celtic_ambient,new_discovery,8,medieval ambient music castle rain 1 hour,47.0,RqHR6J4tR3Q,https://www.youtube.com/watch?v=RqHR6J4tR3Q,Relaxing Celtic Music with Rain 11 Hours💦 Alley lane in a fantasy medieval city😴#medievalmusic,EliaS,UCnzaR79MObN4ZRhjw24s8xw,717829,,,,,41949,699.15,True
discovery_cinematic_celtic_ambient,new_discovery,8,medieval ambient music castle rain 1 hour,47.0,dBEqWbIdhZM,https://www.youtube.com/watch?v=dBEqWbIdhZM,Wind Sounds For Sleeping | Thunderstorm Over A Medieval Castle | Medieval Ambience,Ambient Renders,UCXbXfisDHV_gDjawCKTyTIw,1913183,,,,,28800,480.0,True
discovery_cinematic_celtic_ambient,new_discovery,8,medieval castle ambience music rain study,47.0,D8rFVRDks6Q,https://www.youtube.com/watch?v=D8rFVRDks6Q,Historic Ambience – Rain & Thunderstorm Sounds from an Old Castle for Deep Sleep,Castle Sleep Sounds,UCySSnTn3Rij7Ebm6Rwse37g,1051285,,,,,10801,180.02,True
discovery_cinematic_celtic_ambient,new_discovery,8,medieval castle ambience music rain study,47.0,mQX6NpToZY0,https://www.youtube.com/watch?v=mQX6NpToZY0,Medieval Ambience – Rain with Thunder in an Old Castle for Deep Relaxing Sleep,Castle Sleep Sounds,UCySSnTn3Rij7Ebm6Rwse37g,304033,,,,,10801,180.02,True
discovery_cinematic_celtic_ambient,new_discovery,8,medieval castle ambience music rain study,47.0,CHFif_y2TyM,https://www.youtube.com/watch?v=CHFif_y2TyM,Royal Library | Rain and Thunderstorm Sounds on Study Ambience with Crackling Fireplace,New Bliss,UC-gjtyoUTzGEwWM5Y1J4J7Q,30767072,,,,,10801,180.02,True
discovery_cinematic_celtic_ambient,new_discovery,8,fantasy medieval music castle tavern 2 hours,47.0,Oijl-K8XRuA,https://www.youtube.com/watch?v=Oijl-K8XRuA,Medieval Tavern Music - Relaxing Music 10 Hours - NO ADS,Fantasy Music Studio,UCdwJqfr_TrO6_QoZDTMGZdg,114761,,,,,37563,626.05,True
current_jazz_lounge,current,4,smooth jazz lounge 1 hour 30 relaxing instrumental,46.0,V1a6a3knXVo,https://www.youtube.com/watch?v=V1a6a3knXVo,SMOOTH LOUNGE JAZZ Vol.3 | SUNSET CHILLOUT | 1 Hour of Relaxing Saxophone Melodies,MUSIC IS MY THERAPY,UC4jFa86iJkXbbs2RP7Hbahw,134396,,,,,5633,93.88,True
discovery_latin_gospel_lofi,new_discovery,9,música cristiana lofi para estudiar orar 1 hora,46.0,zLZ6-pSSwUo,https://www.youtube.com/watch?v=zLZ6-pSSwUo,"Radio Lo-Fi Cristão | estudar, relaxar ou orar",Radio Lo-Fi Cristã,UCijAJfS79Q0nAcGMphKn3uA,106862,,,,,7322,122.03,True
discovery_latin_gospel_lofi,new_discovery,9,música cristiana lofi para estudiar orar 1 hora,46.0,0hQwrvslJeI,https://www.youtube.com/watch?v=0hQwrvslJeI,Salmos 1-40| 2 Horas de Música Lofi Country Cristiana |Uplifting Praise Playlist para Orar y Meditar,Faith & Fe ,UCiI5wRn_8AZiJhhlnA84DMg,621673,,,,,7755,129.25,True
discovery_latin_gospel_lofi,new_discovery,9,lofi cristiano en español para dormir estudiar,46.0,yaTEX4bXiZc,https://www.youtube.com/watch?v=yaTEX4bXiZc,Best of Christian Lofi 🙏🏽 [chill instrumental worship] 🙏🏻,The Lofi Christian,UCwckSFwCQbw_BiCzNab44Ng,1296905,,,,,7736,128.93,True
discovery_latin_gospel_lofi,new_discovery,9,lofi cristiano en español para dormir estudiar,46.0,eX-683ojd9g,https://www.youtube.com/watch?v=eX-683ojd9g,Jesus & Me – Chill Christian Lofi + Daily Bible Verses for Hope & Strength,Echoes of Peace,UCGwMPRBjZhW-moJofP1Ws8w,226601,,,,,42900,715.0,True
discovery_latin_gospel_lofi,new_discovery,9,christian lofi beats prayer study 1 hour,46.0,6cVHKr13tQg,https://www.youtube.com/watch?v=6cVHKr13tQg,"Christian lofi~study, work, focus, peace, chill, productivity, sleep, stress relief~Yoni Charis",Yoni Charis,UCOjO2mZ3MZE9P__xDxTv27A,2496760,,,,,18664,311.07,True
discovery_latin_gospel_lofi,new_discovery,9,christian lofi beats prayer study 1 hour,46.0,P-XnYn3FUq4,https://www.youtube.com/watch?v=P-XnYn3FUq4,"Christian Lofi Playlist - To relax, chill, study, or pray to. 📚",REDEFINED TV,UCOVQ9bWjKpS_1DSieC3LIUQ,726303,,,,,11284,188.07,True
discovery_latin_gospel_lofi,new_discovery,9,Spanish Christian lofi study prayer music,46.0,5C2f8yLaP8E,https://www.youtube.com/watch?v=5C2f8yLaP8E,𝐇𝐢𝐥𝐥𝐬𝐨𝐧𝐠 𝐖𝐨𝐫𝐬𝐡𝐢𝐩 𝐢𝐧 𝐚 𝐂𝐡𝐢𝐥𝐥 𝐁𝐨𝐬𝐬𝐚𝐍𝐨𝐯𝐚 | 𝐑𝐞𝐥𝐚𝐱 | 𝐒𝐭𝐮𝐝𝐲 | 𝐖𝐨𝐫𝐤 | 𝐂𝐚𝐟𝐞 |,Christian BGM 크리스찬 BGM,UCUkaBPcyqVjhSdLWppNL8SQ,560946,,,,,11313,188.55,True
current_ptbr_country_gospel_blues,current,1,Country Blues Gospel português playlist completa oração madrugada,44.0,NT9mwFHycvo,https://www.youtube.com/watch?v=NT9mwFHycvo,Salmos em Blues - Os Melhores Louvores Para Acalmar e Curar a Alma |  Louvores de Adoração,Salmos em Blues,UCGTG5JAotGPr-WsI_fNXgag,3767,,,,,7200,120.0,True
discovery_afro_deep_house,new_discovery,7,tribal afro house emotional melodic beats long mix,43.0,UIzQAbsrlRk,https://www.youtube.com/watch?v=UIzQAbsrlRk,Afro House Mix 2026 🔥 Tribal Afro House Energy | Emotional Melodic Beats #VOL 35,Jungle Pulse House,UCDP9FjDsxVoDSiVd58MnekA,1307097,,,,,5963,99.38,True
current_dark_deep_house_noir_pulse,current,3,dark deep house mix no vocals 2 hour night drive,42.0,htBm-fkuxSU,https://www.youtube.com/watch?v=htBm-fkuxSU,DARK FOCUS 💎 2 Hour Deep House Mix | Elite Night Drive 2026,PRIVATE CLUB,UCJrp2jrFTrXiUG7Y3Ik2RZA,83,,,,,7766,129.43,True
current_jazz_lounge,current,4,rainy night jazz coffee shop ambience 2026,41.0,0U0T9AS8KEY,https://www.youtube.com/watch?v=0U0T9AS8KEY,Beautiful Rainy Night at Coffee Shop | Gentle Jazz Ambience for Relaxation,Coffee Shop Vibes,UCJIOFQLGwB3GH9K9waxwynQ,8526,,,,,13863,231.05,True
current_jazz_lounge,current,4,rainy night jazz coffee shop ambience 2026,41.0,U7Nk92AwADk,https://www.youtube.com/watch?v=U7Nk92AwADk,Immersive Rainy Coffee Shop Ambience ☕Soft Instrumental Jazz with Rain & Fireplace Sounds for Relax,Tiny Café Jazz,UCch1SijAzsma2rR3_LDWE-A,43497,,,,,13737,228.95,True
current_jazz_lounge,current,4,cozy coffee shop jazz smooth piano work study,41.0,KErAdhJunRs,https://www.youtube.com/watch?v=KErAdhJunRs,"Cozy Fall Coffee Shop Ambience: Jazz Relaxing Music 🍂 Smooth Piano Jazz Music for Studying, Working",Relax Jazz Cafe,UCZR3-lM6Z-n5_UGHlwx_Rpw,51540,,,,,11221,187.02,True
current_ptbr_country_gospel_blues,current,1,Country Gospel Blues português 1 hora louvores para acalmar o coração,39.0,7ImOpthG3dc,https://www.youtube.com/watch?v=7ImOpthG3dc,"While You Work, Let God Speak to You | Christian Blues Worship (24h)",Louvor Blues Oficial and Louvor Blues,,1543945,,,,,4446,74.1,True
current_ptbr_country_gospel_blues,current,1,Sertanejo Country Gospel 1 hora Deus conhece sua dor,39.0,KL8fIVFdeUk,https://www.youtube.com/watch?v=KL8fIVFdeUk,Música Gospel 1 hora de louvor Para Ouvir e Descansar em Deus (Louvores Mais Tocadas),Som da presença,UCtISnyjHmYL6CWE4x3N__-w,431865,,,,,4779,79.65,True
discovery_dark_academia_piano,new_discovery,6,gothic study music dark academia ambience,39.0,g1tibrzRP88,https://www.youtube.com/watch?v=g1tibrzRP88,Cozy Gothic Study Room | Dark Academia Winter Ambience for Reading | Relaxing Piano & Violin,Dark Academia ,UC9NPk8YgZy1165CnXGSsZeQ,58243,,,,,42896,714.93,True
discovery_dark_academia_piano,new_discovery,6,gothic study music dark academia ambience,39.0,EXdgTDr3X5s,https://www.youtube.com/watch?v=EXdgTDr3X5s,You're Studying with Some Classic Book in a Gothic Bedroom | Dark Academia Ambience & Cozy Piano,𝔻𝕒𝕣𝕜ℕ𝕚𝕘𝕙𝕥 𝕊𝕔𝕒𝕣𝕖,UCnDzHUwteZZtWZnQZXk5s8Q,56405,,,,,14147,235.78,True
