niche,query,score,video_id,url,title,channel,channel_handle,views,views_text,published,age_days_est,views_per_day_est,duration_seconds,duration_minutes,is_long_1h_plus
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,80.86,JElyhCKzhWI,https://www.youtube.com/watch?v=JElyhCKzhWI,vintage jazz on a rainy 1940s night | cozy ambience to relax,Lepreezy,@Lepreezy,6544205,"6,544,205 views",1 year ago,365,17929.33,11398,189.97,True
discovery_afro_deep_house,afro melodic house mix 2026 long mix,78.61,MnJvKMnvvi4,https://www.youtube.com/watch?v=MnJvKMnvvi4,Afro House 2026 Mix | Deep Melodic Set 🎧 | Black Coffee Style ☕️ DJ Mix Vol. 35,Afro Groove,@AfroGroove-2026,58613,"58,613 views",2 days ago,2,29306.5,5343,89.05,True
discovery_afro_deep_house,afro melodic house mix 2026 long mix,76.56,FgLaTj7BBcQ,https://www.youtube.com/watch?v=FgLaTj7BBcQ,Afro House 2026 Mix | Deep Melodic Set 🎧 | Black Coffee Style Vol.61,Afro House club,@AfroHouseclub-l6y,46558,"46,558 views",2 days ago,2,23279.0,6450,107.5,True
discovery_christian_sleep_ambient,soaking worship instrumental sleep music no words,76.34,JT9aSnNYRjc,https://www.youtube.com/watch?v=JT9aSnNYRjc,YESHUA / PROPHETIC WORSHIP INSTRUMENTAL / MEDITATION MUSIC,Herikant Official,/channel/UCLkYGeWVmfQ7FzmIMZMQErg,17158782,"17,158,782 views",3 years ago,1095,15670.12,15026,250.43,True
current_ptbr_country_gospel_blues,Country Gospel Blues português 1 hora louvores para acalmar o coração,73.21,SpLWf2NEwJ4,https://www.youtube.com/watch?v=SpLWf2NEwJ4,Seleção dos Louvores Mais Tocados | 2 Horas de Louvor e Adoração Reverente | @HinosComIA 2025/2026,Hinos Com IA,/channel/UCxnZpdE_nhjVyPk0LUfFJfg,2962054,"2,962,054 views",7 months ago,210,14105.02,7546,125.77,True
discovery_afro_deep_house,afro house sunset mix 1 hour deep house,72.62,f9OSBmPZOoQ,https://www.youtube.com/watch?v=f9OSBmPZOoQ,"SUMMER AFRO HOUSE Sunset Mix (Adam Port, Avicii, The Weeknd, Coldplay, Diplo) - Summer Vibes Mix #41",Afro King,@afrokingmusic,5041434,"5,041,434 views",1 year ago,365,13812.15,8461,141.02,True
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,72.49,U3n31M81RpE,https://www.youtube.com/watch?v=U3n31M81RpE,Smooth Jazz Saxophone Music - Cool Cafe Vibes • Relaxing Saxophone Instrumental for Dinner & Chill,Dr.SaxLove,/channel/UCNJFXYXkXt_P8bJUxb21MpA,11859431,"11,859,431 views",2 years ago,730,16245.8,6992,116.53,True
discovery_christian_sleep_ambient,christian sleep music 8 hours healing prayer instrumental,72.47,QaqgRzwNoFo,https://www.youtube.com/watch?v=QaqgRzwNoFo,YESHUA // 10 HOURS // BLACK SCREEN // INSTRUMENTAL SOAKING WORSHIP // SOAKING WORSHIP MUSIC // PIANO,SOAKING INTO HEAVENLY SOUNDS Instrumental Worship,@heavenlysoundsworship,5012534,"5,012,534 views",1 year ago,365,13732.97,36164,602.73,True
current_ptbr_country_gospel_blues,Country Gospel Blues português 1 hora louvores para acalmar o coração,71.57,R7n_YJ4cHkE,https://www.youtube.com/watch?v=R7n_YJ4cHkE,"OUÇA ISSO ANTES DE DESISTIR | Os Hinos Blues Gospel de Fé, Dor e Superação | DAVI LUCCAS",Davi Blues,/channel/UCIm3-7uNO1LEUn-cUo3GKKg,947182,"947,182 views",Streamed 2 months ago,60,15786.37,6449,107.48,True
current_jazz_lounge,rainy night jazz coffee shop ambience 2026,70.09,0L38Z9hIi5s,https://www.youtube.com/watch?v=0L38Z9hIi5s,"A Rainy Day in 4K Cozy Coffee Shop ❄ Background Instrumental to Relax, Study, Work",Relaxing Jazz Piano,@relaxingjazzpiano6491,13735949,"13,735,949 views",3 years ago,1095,12544.25,11355,189.25,True
current_ptbr_country_gospel_blues,Country Blues Gospel português playlist completa oração madrugada,70.0,lQOS4zT11Y4,https://www.youtube.com/watch?v=lQOS4zT11Y4,Antes Do Sol Nascer-DANIEL LIMA FILHO-Deus Abençoe Meu dia,Daniel Lima filho,/channel/UCZYwmWH-9jKshgkdx1Wepog,5142718,"5,142,718 views",2 months ago,60,85711.97,192,3.2,False
current_spanish_gospel_blues,Dios conoce tu dolor Gospel Blues en Español 1 hora,70.0,UlXvH-SNkBU,https://www.youtube.com/watch?v=UlXvH-SNkBU,Un Día a la Vez ✝️ Mi Cristo – Blues Gospel Profundo | Cruz & Blues Worship Música Cristiana 🙏🔥,Cruz y Blues Worship,/channel/UCiuY4qiQcRlLPePRN7PlqlA,12577157,"12,577,157 views",9 months ago,270,46582.06,230,3.83,False
discovery_afro_deep_house,afro house sunset mix 1 hour deep house,70.0,_RwD8PDZb7A,https://www.youtube.com/watch?v=_RwD8PDZb7A,Afro House Sunset Mix 2025 | Miami Vibes,Maldo,/channel/UCgwG7Tb7WohCHrDwLxB6JQQ,12977366,"12,977,366 views",1 year ago,365,35554.43,2924,48.73,False
discovery_afro_deep_house,afro house sunset mix 1 hour deep house,70.0,mm8PugX6QZ0,https://www.youtube.com/watch?v=mm8PugX6QZ0,Afro House Sunset Mix | Punta del Este,Maldo,/channel/UCgwG7Tb7WohCHrDwLxB6JQQ,16250308,"16,250,308 views",1 year ago,365,44521.39,2556,42.6,False
current_jazz_lounge,rainy night jazz coffee shop ambience 2026,69.97,-dQ75USmQZo,https://www.youtube.com/watch?v=-dQ75USmQZo,Cozy Winter Jazz Lounge ❄️ Relaxing Coffee Shop Ambience | Snow Cafe Piano Smooth Jazz,Cozy Cup Melodies,@cozycupmelodies-o2k,2996931,"2,996,931 views",8 months ago,240,12487.21,7333,122.22,True
current_dark_deep_house_noir_pulse,dark progressive house mix no vocals 1 hour 2026,69.69,RGtDVLjrj9o,https://www.youtube.com/watch?v=RGtDVLjrj9o,"After Dark Deep House mix 2026 | Smooth Vocal House, Nu Disco & Midnight Drive",Midnight Deep Vibes,@DeepVibes-i7z,370383,"370,383 views",1 month ago,30,12346.1,7417,123.62,True
discovery_christian_sleep_ambient,soaking worship instrumental sleep music no words,69.54,kNWiu6BNcEA,https://www.youtube.com/watch?v=kNWiu6BNcEA,"Soaking Worship with Rain Sounds for Prayer, Rest, and God’s Presence",Overflow Worship,@Overflow_Worship,1104372,"1,104,372 views",3 months ago,90,12270.8,12079,201.32,True
current_dark_deep_house_noir_pulse,dark progressive house mix no vocals 1 hour 2026,69.14,QhMs-t7EhXY,https://www.youtube.com/watch?v=QhMs-t7EhXY,Best Deep House Songs Of All Time - Deep House Vibes 2026 | Tropical House Journey, Inner Deep Radio,@InnerDeepRadio-r4j,3258410,"3,258,410 views",9 months ago,270,12068.19,12057,200.95,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,69.14,QhMs-t7EhXY,https://www.youtube.com/watch?v=QhMs-t7EhXY,Best Deep House Songs Of All Time - Deep House Vibes 2026 | Tropical House Journey, Inner Deep Radio,@InnerDeepRadio-r4j,3258410,"3,258,410 views",9 months ago,270,12068.19,12057,200.95,True
discovery_afro_deep_house,afro house sunset mix 1 hour deep house,69.07,roNNn1vr9XU,https://www.youtube.com/watch?v=roNNn1vr9XU,"SUMMER AFRO HOUSE Sunset Mix (Adam Port, Avicii, The Weeknd, Coldplay, Diplo) - Summer Vibes #1",AFRO FLOW,@AFROFLOW-T2A,3249025,"3,249,025 views",9 months ago,270,12033.43,8098,134.97,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,67.82,4PqrRoE8h2Q,https://www.youtube.com/watch?v=4PqrRoE8h2Q,Afro House 2026 | Deep Melodic Set | Black Coffee Style | DJ VANTA | 1 Hour,AFRO DEEP VANTA,@AFRODEEPVANTA,567369,"567,369 views",1 month ago,30,18912.3,3620,60.33,True
discovery_cinematic_celtic_ambient,dark celtic ambient music for studying 1 hour,67.11,jiwuQ6UHMQg,https://www.youtube.com/watch?v=jiwuQ6UHMQg,2 Hours of Celtic Music by Adrian von Ziegler (Part 1/3),Adrian von Ziegler,/channel/UCSeJA6az0GrNM4_-pl3HQSQ,52463830,"52,463,830 views",13 years ago,4745,11056.66,7370,122.83,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,66.52,jh4C7w-dvho,https://www.youtube.com/watch?v=jh4C7w-dvho,"4K Cozy Coffee Shop ☕ Smooth Piano Jazz Music for Relaxing, Studying, Sleeping",Relaxing Jazz Piano,@relaxingjazzpiano6491,15710182,"15,710,182 views",4 years ago,1460,10760.4,12296,204.93,True
discovery_cinematic_celtic_ambient,celtic ambient music 1 hour medieval fantasy relaxing,66.3,4WIMyqBG9gs,https://www.youtube.com/watch?v=4WIMyqBG9gs,Fantasy Medieval Music for Focus & Calm | The Dwarf’s Long Mountain Journey,Springs of Serenity,@SpringsofSerenity,3195579,"3,195,579 views",10 months ago,300,10651.93,7293,121.55,True
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,66.13,GmqOc3CJEZo,https://www.youtube.com/watch?v=GmqOc3CJEZo,SMOOTH JAZZ & SOUL | Pure Jazz Sanctuary 🛜 Live Stream,Pure Jazz Sanctuary,@PureJazzSanctuary,3855780,"3,855,780 views",Streamed 1 year ago,365,10563.78,34288,571.47,True
discovery_afro_deep_house,afro house sunset mix 1 hour deep house,65.61,YQHRV1Y2yMo,https://www.youtube.com/watch?v=YQHRV1Y2yMo,AFRO HOUSE Sunset Mix 2026 | The Best of Afro House 2026 | Afro House Remix Vol.11,Sew,@sewlabel,1602444,"1,602,444 views",3 months ago,90,17804.93,4419,73.65,True
discovery_dark_academia_piano,dark academia piano playlist for reading 1 hour,64.76,k5rEQ2wFPUw,https://www.youtube.com/watch?v=k5rEQ2wFPUw,a playlist for night studies (dark academia),nobody,@nouboudy,14421676,"14,421,676 views",4 years ago,1460,9877.86,7382,123.03,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,64.51,ZA_KC22qqR8,https://www.youtube.com/watch?v=ZA_KC22qqR8,Afro House 2026 Mix | Deep Melodic Set 🎧 | Black Coffee Style,Afro Records,@AfroRecords-68,585199,"585,199 views",2 months ago,60,9753.32,13552,225.87,True
discovery_cinematic_celtic_ambient,celtic ambient music 1 hour medieval fantasy relaxing,63.21,ipFaubyDUT4,https://www.youtube.com/watch?v=ipFaubyDUT4,Medieval Celtic Music and Fantasy Celtic Music - 10 Hour No ads,Fantasy Music Studio,@fantasymusicstudiolabel,9968836,"9,968,836 views",3 years ago,1095,9103.96,37561,626.02,True
current_spanish_gospel_blues,Dios conoce tu dolor Gospel Blues en Español 1 hora,63.15,gNCUhToiZjE,https://www.youtube.com/watch?v=gNCUhToiZjE,Que bueno es el señor (Country Cristiano),GRUPO LA TRIBU OFICIAL,/channel/UCpMtdsn9leYmphmKYAuI-kA,2391820,"2,391,820 views",3 months ago,90,26575.78,300,5.0,False
discovery_dark_academia_piano,dark academia piano playlist for reading 1 hour,62.52,SllpB3W5f6s,https://www.youtube.com/watch?v=SllpB3W5f6s,you study to prepare for the upcoming exam | Dark academia playlist,Toxic Drunker,@ToxicDrunker_,9592397,"9,592,397 views",3 years ago,1095,8760.18,12664,211.07,True
discovery_afro_deep_house,afro house sunset mix 1 hour deep house,61.73,x4JuLSnH6G8,https://www.youtube.com/watch?v=x4JuLSnH6G8,Afro House Sunset Mix 2025 | Public Beach Party Vibes,SUNDANCE,@sundance__music,5790038,"5,790,038 views",1 year ago,365,15863.12,4826,80.43,True
current_ptbr_country_gospel_blues,Country Blues Gospel português playlist completa oração madrugada,61.6,GyCzr7tV9VA,https://www.youtube.com/watch?v=GyCzr7tV9VA,Heróis da Fé: Quando Deus Transforma Dor em Glória | DAVI LUCCAS| BLUE GOSPEL,Davi Blues,/channel/UCIm3-7uNO1LEUn-cUo3GKKg,647859,"647,859 views",Streamed 2 months ago,60,10797.65,5648,94.13,True
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,60.45,dE-RxHJHpMY,https://www.youtube.com/watch?v=dE-RxHJHpMY,Smooth Jazz & Soulful R&B Instrumental – Chill Background Music for Relaxing,Jazzy Soul Music,/channel/UC7gu1mcUVPhrxJispwgSXmA,2820187,"2,820,187 views",1 year ago,365,7726.54,7690,128.17,True
discovery_dark_academia_piano,dark academia classical music 1 hour studying rain,60.43,DCt-k9DCWsQ,https://www.youtube.com/watch?v=DCt-k9DCWsQ,Dark Academia Piano Music with Rain Sounds | Gothic Reading Library Ambience | Study Music,Nostalgic Dark Academia,@Nostalgic.DarkAcademia,925867,"925,867 views",4 months ago,120,7715.56,11961,199.35,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,60.38,Y4anm6w0uiA,https://www.youtube.com/watch?v=Y4anm6w0uiA,"Happy Jazz & Bossa Nova Music - Happy Cafe Music For Work, Study",Bossa Nova Jazz,@BossaNovaJazz-ww7dp,5615020,"5,615,020 views",2 years ago,730,7691.81,11458,190.97,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,60.28,8cN7LWGO-gE,https://www.youtube.com/watch?v=8cN7LWGO-gE,Positive JAZZ - Morning Music To Start The Day,Lounge Music and Relax Music,,16732586,"16,732,586 views",6 years ago,2190,7640.45,7825,130.42,True
current_dark_deep_house_noir_pulse,dark progressive house mix no vocals 1 hour 2026,59.88,csdBVbAp4F4,https://www.youtube.com/watch?v=csdBVbAp4F4,"Melodic Techno 2026 — Deep, Emotional & Progressive Set | Driving Focus Mix",Melodic techno room,@melodictechnoroom,1339011,"1,339,011 views",6 months ago,180,7438.95,12495,208.25,True
discovery_christian_sleep_ambient,christian sleep music 8 hours healing prayer instrumental,58.84,3L2A19r9q-U,https://www.youtube.com/watch?v=3L2A19r9q-U,8 Hours Of Healing Scriptures For Meditation And Sleep | Joseph Prince | Gospel Partner Resource,Joseph Prince,@JosephPrince,7575504,"7,575,504 views",3 years ago,1095,6918.27,28900,481.67,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,58.81,tMkvDp-jaes,https://www.youtube.com/watch?v=tMkvDp-jaes,"Positive mood jazz☕Relaxing Piano Jazz Music for Study, Work & Chill Out",Jazz & Coffe Shop,@jazzandcoffeeshop,7559937,"7,559,937 views",3 years ago,1095,6904.05,11777,196.28,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,58.39,c18WZZa4KIA,https://www.youtube.com/watch?v=c18WZZa4KIA,Fall Coffee Shop Bookstore Ambience with Relaxing Jazz Music & Rain Sounds [No Mid Roll Ads - No AI],Calmed By Nature,@CalmedByNature,7330462,"7,330,462 views",3 years ago,1095,6694.49,28922,482.03,True
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,57.51,_ytFg0hFad8,https://www.youtube.com/watch?v=_ytFg0hFad8,"Smooth Jazz Chillout Lounge • Smooth Jazz Saxophone Instrumental Music for Relaxing, Dinner, Study",Dr.SaxLove,/channel/UCNJFXYXkXt_P8bJUxb21MpA,35147864,"35,147,864 views",7 years ago,2555,13756.5,3799,63.32,True
current_ptbr_country_gospel_blues,Sertanejo Country Gospel 1 hora Deus conhece sua dor,57.49,OzDEF9BHGGc,https://www.youtube.com/watch?v=OzDEF9BHGGc,Coletânea Especial Para os Inscritos ❤️ 1 Hora de Louvor Sertão Gospel | Lourenço Dias,LOURENÇO DIAS,@louren%C3%A7odiasoficial,824601,"824,601 views",2 months ago,60,13743.35,3616,60.27,True
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,56.32,VTVC4weBFUA,https://www.youtube.com/watch?v=VTVC4weBFUA,New York Jazz Music 10 Hours - Relax Jazz Bar Classics,Relax Cafe Music,/channel/UCaCE5pzy49M8nQ59plgmFOA,12397810,"12,397,810 views",6 years ago,2190,5661.1,36001,600.02,True
current_dark_deep_house_noir_pulse,dark progressive house mix no vocals 1 hour 2026,56.31,ZH-tHW9K5jI,https://www.youtube.com/watch?v=ZH-tHW9K5jI,Best of Deep House [2026] | Melodic House & Progressive Vibes,NAVTUNE,/channel/UC9vofs3PQi2afApCEm_n3TQ,2367858,"2,367,858 views",6 months ago,180,13154.77,4331,72.18,True
current_dark_deep_house_noir_pulse,after 2am dark deep house mix focus no vocals,56.2,xDih5SwFs_c,https://www.youtube.com/watch?v=xDih5SwFs_c,𝟮𝗮𝗺.,Lost Sounds,@LSTSOUNDS,9563474,"9,563,474 views",2 years ago,730,13100.65,3627,60.45,True
discovery_cinematic_celtic_ambient,celtic ambient music 1 hour medieval fantasy relaxing,55.83,mm0QSsRwzUo,https://www.youtube.com/watch?v=mm0QSsRwzUo,Home Beyond the Vale | Fantasy Celtic Ambience | Relaxing Music [No Ads],Strings of Eternity,@StringsofEternity,974878,"974,878 views",6 months ago,180,5415.99,11543,192.38,True
current_dark_deep_house_noir_pulse,dark progressive house mix no vocals 1 hour 2026,55.57,z_7F9q7EIoI,https://www.youtube.com/watch?v=z_7F9q7EIoI,Deep Melodic Techno & Trance Journey – Hypnotic Mix for Travel,Luma Beats Street,@LumaBeatsStreet,1585872,"1,585,872 views",10 months ago,300,5286.24,10801,180.02,True
current_spanish_gospel_blues,Dios conoce tu dolor Gospel Blues en Español 1 hora,55.24,cHp537myNJM,https://www.youtube.com/watch?v=cHp537myNJM,BEST SPANISH SOUL BLUES | Layah Noir,Layah Noir,/channel/UCE0HlOY25Mgb4HeK8GIqIiA,1142809,"1,142,809 views",5 months ago,150,7618.73,6148,102.47,True
discovery_dark_academia_piano,dark academia classical music 1 hour studying rain,55.24,rrfsfWrxfiA,https://www.youtube.com/watch?v=rrfsfWrxfiA,You're Reading in an 18th Century Library and It's Raining Outside | Dark Classical Academia,StudyMD,@StudyMD,5608625,"5,608,625 views",3 years ago,1095,5122.03,25291,421.52,True
discovery_christian_sleep_ambient,christian sleep music 8 hours healing prayer instrumental,54.33,4BOmnyl6YNU,https://www.youtube.com/watch?v=4BOmnyl6YNU,Ruach HaKodesh Soaking Worship Music Prayer | 8 Hours of Heavenly Peace for Deep Rest in Yeshua,Amets of Zion,/channel/UCv0baQW2f0X707-2TpYIWrA,139905,"139,905 views",1 month ago,30,4663.5,29479,491.32,True
discovery_dark_academia_piano,dark academia classical music 1 hour studying rain,54.16,D9km3yXmR8k,https://www.youtube.com/watch?v=D9km3yXmR8k,Dark Classical Academia - You’re studying in a large library at midnight 🕯️,StudyMD,@StudyMD,5013974,"5,013,974 views",3 years ago,1095,4578.97,7725,128.75,True
discovery_christian_sleep_ambient,christian sleep music 8 hours healing prayer instrumental,53.67,lECqlVT7TeA,https://www.youtube.com/watch?v=lECqlVT7TeA,"Christian Sleep Music | 10 Hours Sleep Ambience - Vol 1 | ""Night Clouds""",LightStream Media,@lightstreammediachannel,7907713,"7,907,713 views",5 years ago,1825,4332.99,36000,600.0,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,53.5,JrorYWOpsbs,https://www.youtube.com/watch?v=JrorYWOpsbs,🔥 AFRO / MELODIC HOUSE 2026 - DEEP & HYPNOTIC SET BLACK NIGHTS🔥 BLACK COFFEE | Afro House Radio,Afro House Radio,@Afro-House-Radio,2115077,"2,115,077 views",6 months ago,180,11750.43,4799,79.98,True
discovery_dark_academia_piano,dark academia classical music 1 hour studying rain,53.47,7vORdFWxIPg,https://www.youtube.com/watch?v=7vORdFWxIPg,You're Reading Alone at Victorian London by the Window | Rainy Autumn Ambience | Dark Academia,Nostalgic Dark Academia,@Nostalgic.DarkAcademia,1397682,"1,397,682 views",11 months ago,330,4235.4,13213,220.22,True
current_ptbr_country_gospel_blues,Country Blues Gospel português playlist completa oração madrugada,53.44,qqBlfkcbW9k,https://www.youtube.com/watch?v=qqBlfkcbW9k,DEUS RESPONDE 🙏 Salmos em Blue Gospel Para Acalmar a Alma | Davi Luccas| Blue Gospel,Davi Blues,/channel/UCIm3-7uNO1LEUn-cUo3GKKg,253128,"253,128 views",Streamed 2 months ago,60,4218.8,9514,158.57,True
current_dark_deep_house_noir_pulse,after 2am dark deep house mix focus no vocals,53.3,FDFqzVy2nI0,https://www.youtube.com/watch?v=FDFqzVy2nI0,"ｌａｔｅ　ｎｉｇｈｔ　ｖｉｂｅｓ //  Calm Vaporwave, Deep Ambient, Slowcore, Officewave",baby.murcielaga,@babymurcielaga,3029099,"3,029,099 views",2 years ago,730,4149.45,12798,213.3,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,53.03,8w5ELqXNlvk,https://www.youtube.com/watch?v=8w5ELqXNlvk,"Late Night Jazz Lounge🍷Relaxing Jazz Bar Classics for Working, Relaxing, Studying",Coffee Jazz Melody,/channel/UCKvKjZ3l9azWz4F49q2R3tQ,4395714,"4,395,714 views",3 years ago,1095,4014.35,43113,718.55,True
discovery_christian_sleep_ambient,soaking worship instrumental sleep music no words,52.85,Fg8EMYy_cCk,https://www.youtube.com/watch?v=Fg8EMYy_cCk,HOLY SPIRIT: Piano + Relaxing Rain Sounds - 10 Hour Sleep Music,Healing Project Music,/channel/UCzTkutStA8SWQGDw9J9qD6w,7159966,"7,159,966 views",5 years ago,1825,3923.27,36055,600.92,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,52.65,yzlV5VVfjnE,https://www.youtube.com/watch?v=yzlV5VVfjnE,Morning Jazz Cafe Music - Instrumental Soft Jazz Music & Relaxing Bossa Nova Piano for Begin the day,Cafe Cozy Jazz,/channel/UCyUTC3jCAaLd639lo9n9Bqw,2791539,"2,791,539 views",Streamed 2 years ago,730,3824.03,42900,715.0,True
discovery_afro_deep_house,afro house sunset mix 1 hour deep house,52.64,3G8f9miKY2A,https://www.youtube.com/watch?v=3G8f9miKY2A,"SUMMER AFRO HOUSE Sunset Mix 2025 (Avicii, The Weeknd, Coldplay, Diplo) - Summer Vibes #34",Afro Sounds,@AfroSounds-s2w,3734837,"3,734,837 views",11 months ago,330,11317.69,5057,84.28,True
discovery_christian_sleep_ambient,soaking worship instrumental sleep music no words,52.56,Gd0EeJvJeM8,https://www.youtube.com/watch?v=Gd0EeJvJeM8,"ME & JESUS - Soaking Worship Instrumental | Prayer, Devotional, Meditation, Quiet Worship",Sacred Calm ,@SacredCalm-v8n,680308,"680,308 views",6 months ago,180,3779.49,11393,189.88,True
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,52.42,pkW9ftZ6hfo,https://www.youtube.com/watch?v=pkW9ftZ6hfo,🎷 Smooth Jazz & Soulful R&B | Cozy All-Day Listening & Relaxation,Nova Jazz and 2 more,,2049022,"2,049,022 views",11 months ago,330,6209.16,6401,106.68,True
discovery_afro_deep_house,afro deep house mix 2026 1 hour no vocals,52.35,3tFpLXROVFs,https://www.youtube.com/watch?v=3tFpLXROVFs,Best of Deep House [2026] | Chill Mix & Deep Feelings #61,DeepChill Melody,@ChillMelody01,741019,"741,019 views",Streamed 4 months ago,120,6175.16,5501,91.68,True
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,52.22,JyDufyQt1uk,https://www.youtube.com/watch?v=JyDufyQt1uk,Smooth Jazz & Relaxing Instrumentals for Timeless Moments,CozySax,/channel/UCa3ft9rRGTLWAtZmwESrhCg,1191339,"1,191,339 views",11 months ago,330,3610.12,7641,127.35,True
current_jazz_lounge,smooth jazz lounge 1 hour 30 relaxing instrumental,52.16,E2sMjw13N8Q,https://www.youtube.com/watch?v=E2sMjw13N8Q,"Smooth Jazz Guitar Music - Cool Cafe Vibes • Relaxing Guitar Music for Cafe, Study & Work",Guitar Jazz Cafe,@guitar-jazz-cafe,429745,"429,745 views",4 months ago,120,3581.21,7397,123.28,True
current_jazz_lounge,jazz cafe music for work study relaxing 1 hour,52.14,ohky3u9WJ74,https://www.youtube.com/watch?v=ohky3u9WJ74,"Office JAZZ - Relaxing JAZZ Music For Work, Concentration and Focus",Relax Music and Lounge Music,,6516879,"6,516,879 views",Streamed 5 years ago,1825,3570.89,38819,646.98,True
